,Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length
183,Running,2019-04-16 15:45:00,Running,9.0,0.0,63,0,0,0,0,7:00,0,0,0,0.0
184,Running,2019-04-15 09:13:00,Baltimore Running,9.0,571.0,62,135,158,180,194,6:56,5:45,838,842,1.29
185,Running,2019-04-14 11:29:00,Baltimore Running,16.08,1060.0,111,145,189,180,192,6:56,5:24,962,959,1.3
186,Running,2019-04-13 21:28:00,Running,6.2,0.0,31,0,0,0,0,5:06,0,0,0,0.0
187,Running,2019-04-13 20:15:00,East Buffalo Running,2.0,175.0,16,134,141,170,184,8:25,5:21,4,7,1.12
188,Running,2019-04-13 18:29:00,East Buffalo Running,2.48,211.0,16,146,171,178,192,6:49,4:51,124,125,1.34
189,Running,2019-04-13 13:06:00,East Buffalo Running,2.01,156.0,14,136,154,180,190,7:06,6:10,61,58,1.27
190,Running,2019-04-12 17:05:00,Baltimore Running,7.07,447.0,49,134,156,180,204,6:57,3:59,406,399,1.28
191,Running,2019-04-11 16:32:00,Baltimore Running,10.0,641.0,67,137,185,180,194,6:48,4:36,891,890,1.32
192,Running,2019-04-11 10:43:00,Baltimore Running,4.06,264.0,27,132,153,182,194,6:50,3:47,282,272,1.29
193,Running,2019-04-10 09:16:00,Baltimore Running,10.02,677.0,68,142,161,180,192,6:50,5:44,400,397,1.31
194,Running,2019-04-09 17:42:00,Baltimore Running,3.78,379.0,27,159,179,178,202,7:18,6:11,173,142,1.23
195,Running,2019-04-09 17:23:00,Baltimore Running,1.0,92.0,368,170,187,178,214,6:10,3:53,46,61,1.47
196,Running,2019-04-09 16:58:00,Baltimore Running,3.83,240.0,19,147,176,188,196,5:02,4:36,153,154,1.7
197,Running,2019-04-09 16:31:00,Baltimore Running,2.08,168.0,13,145,163,182,194,6:36,5:04,73,118,1.34
198,Running,2019-04-08 16:40:00,Baltimore Running,3.75,230.0,29,121,192,178,192,7:46,4:32,177,177,1.17
199,Running,2019-04-08 09:34:00,Baltimore Running,7.24,497.0,49,138,157,182,196,6:53,5:55,405,399,1.27
